rank,type,address,address_short,entity_name,category,transaction_count,avg_gas_limit,max_gas_limit,additional_cost_eth,impact_score
1,FROM,0x22dcb4798abf95b96c18cb6aade0229ae8dda3e1,0x22dcb479...dda3e1,MCT: MXENFT Token User,Other,2555,19940818.61213307,20025269.0,1.35817439528137e-05,0.034701355799439004
2,FROM,0xc87a8df3d07e06a929dc693245ef02630c848e85,0xc87a8df3...848e85,wywy.eth,MEV Bot,2205,22766998.937414967,30000000.0,9.315296752028573e-06,0.020540229338223002
3,FROM,0x78ec5c6265b45b9c98cf682665a00a3e8f085ffe,0x78ec5c62...085ffe,XEN User #1,Other,1712,25950212.55899533,36000000.0,1.0912745092661214e-05,0.018682619598636
4,FROM,0x2a8b49767e70fb65d477f8881ecf8023add8941c,0x2a8b4976...d8941c,XEN User #2,Other,1559,34411391.61962797,35947097.0,2.1574506549436816e-05,0.033634655710571996
5,FROM,0xcde69d6418004b2e44b101121bf72397adc696ff,0xcde69d64...c696ff,XEN User #3,Other,1543,23456519.52235904,32400000.0,1.0229690667530785e-05,0.0157844127
6,FROM,0x61fbb052daf37a3b50616669a10c4778f08f3c6f,0x61fbb052...8f3c6f,aifi2025.eth,Unknown,1345,19439481.85055762,32400000.0,8.488015732837919e-06,0.011416381160667
7,FROM,0x4abf0b30452399793ff3a90ac016072b12f5ff32,0x4abf0b30...f5ff32,liudaoyyds.eth,Unknown,1287,20403859.42035742,25267151.0,1.1743186970454545e-05,0.015113481630975
8,FROM,0xd6aaaa96ed06389effbf0afb0b028c5b23a5ee77,0xd6aaaa96...a5ee77,XEN User #4,Other,1189,24467657.14634146,25416303.0,7.141004962153069e-06,0.008490654899999998
9,FROM,0x7340d1918ff7e6df680745985086ad350a2b5678,0x7340d191...2b5678,XEN User #5,Unknown,1100,20093929.04909091,20094357.0,8.243346391941818e-06,0.009067681031136
10,FROM,0xb5b3f3f443fe3c1a42b6507ae211df69ac40c8d9,0xb5b3f3f4...40c8d9,XEN User #6,Unknown,1089,19461631.64279155,34508005.0,9.632291184573002e-06,0.010489565099999999
