rank,address,transaction_count,avg_gas_limit,max_gas_limit,total_excess_gas,additional_cost_eth,label,category
1,0x22dcb4798abf95b96c18cb6aade0229ae8dda3e1,2555,19940818.61213307,20025269.0,8083004674.0,1.35817439528137e-05,Likely MEV Bot (consistent ~20M gas),MEV Bot
2,0xc87a8df3d07e06a929dc693245ef02630c848e85,2205,22766998.937414967,30000000.0,13207471377.0,9.315296752028573e-06,Unidentified High-Gas User,Other
3,0x78ec5c6265b45b9c98cf682665a00a3e8f085ffe,1712,25950212.55899533,36000000.0,15704170109.0,1.0912745092661214e-05,Likely Batch Processor (25-27M gas),Batch Processor
4,0x2a8b49767e70fb65d477f8881ecf8023add8941c,1559,34411391.61962797,35947097.0,27491679791.0,2.1574506549436816e-05,Likely Complex DeFi/DEX Router (30-36M gas),DeFi/DEX Protocol
5,0xcde69d6418004b2e44b101121bf72397adc696ff,1543,23456519.52235904,32400000.0,10306165335.0,1.0229690667530785e-05,Unidentified High-Gas User,Other
6,0x61fbb052daf37a3b50616669a10c4778f08f3c6f,1345,19439481.85055762,32400000.0,3580747569.0,8.488015732837919e-06,Likely MEV Bot (consistent ~20M gas),MEV Bot
7,0x4abf0b30452399793ff3a90ac016072b12f5ff32,1287,20403859.42035742,25267151.0,4667490082.0,1.1743186970454545e-05,Likely MEV Bot (consistent ~20M gas),MEV Bot
8,0xd6aaaa96ed06389effbf0afb0b028c5b23a5ee77,1189,24467657.14634146,25416303.0,9143934523.0,7.141004962153069e-06,Unidentified High-Gas User,Other
9,0x7340d1918ff7e6df680745985086ad350a2b5678,1100,20093929.04909091,20094357.0,3648384354.0,8.243346391941818e-06,Likely MEV Bot (consistent ~20M gas),MEV Bot
10,0xb5b3f3f443fe3c1a42b6507ae211df69ac40c8d9,1089,19461631.64279155,34508005.0,2923328635.0,9.632291184573002e-06,Likely MEV Bot (consistent ~20M gas),MEV Bot
11,0x9735776a06bcf178b3ca198230e178fe74333333,1031,20093896.34917556,20094357.0,3419497440.0,8.682534430021338e-06,Likely MEV Bot (consistent ~20M gas),MEV Bot
12,0x23ab825aaffe678f6473133f7a7a90ab49f5b391,979,34104143.86516854,35935818.0,16963062380.0,2.3056610088851885e-05,Likely Complex DeFi/DEX Router (30-36M gas),DeFi/DEX Protocol
13,0xa54d7d28bba53f816b2d8cf306aa985ddfc427e7,924,19500000.0,19500000.0,2515852416.0,9.663540570909093e-06,Likely MEV Bot (consistent ~20M gas),MEV Bot
14,0x70b00f8ffbaccbf662aff76dce82058296b46af9,882,20023996.55668934,20025269.0,2863660451.0,8.758044659285715e-06,Likely MEV Bot (consistent ~20M gas),MEV Bot
15,0x75c51351584199cdb072826c515cd08830ab4a0f,864,30209491.54976852,33737454.0,11605486075.0,1.378996738709722e-05,Likely Complex DeFi/DEX Router (30-36M gas),DeFi/DEX Protocol
16,0x07a4ae312eb8ba5b4f65de06da50cab3df648573,767,28950915.601043023,34200000.0,9337227594.0,9.959132150984356e-06,"Likely Data Posting/Storage (high gas, regular)",Data Storage
17,0x4fb9bbb1838ee0acb7b4d2e519a4c233198499fb,761,26021000.0,26021000.0,7034519624.0,2.4836837084412614e-05,Likely Batch Processor (25-27M gas),Batch Processor
18,0x97d618e3a0afeccfb5c50b5df258cd7e48650510,757,20000000.0,20000000.0,2439647488.0,1.17458422814465e-05,Likely MEV Bot (consistent ~20M gas),MEV Bot
19,0xee67263be078df8ce3f55d5bcc1d23eb0cdc61bb,658,26968965.00455927,32400000.0,6706170845.0,1.3313507338723403e-05,Likely Batch Processor (25-27M gas),Batch Processor
20,0xe81cfa76a9579686de04749c6c0d404e3b4a60b8,652,20141795.44018405,30221102.0,2193705795.0,1.2190810204334356e-05,Likely MEV Bot (consistent ~20M gas),MEV Bot
21,0x6582b7c80df319553a988f62436b8a1be6b2b24c,646,32719694.74767802,34200000.0,10298841271.0,1.040552734846904e-05,Likely Complex DeFi/DEX Router (30-36M gas),DeFi/DEX Protocol
22,0x6896e929ab60d400a58b43fb536d61390b0c297f,620,20023589.60645161,20023633.0,2012751636.0,1.2115143064296771e-05,Likely MEV Bot (consistent ~20M gas),MEV Bot
23,0xff0581a78019c65f3257429e053863304f555555,587,20093942.85519591,20095305.0,1946918664.0,8.681939758456558e-06,Likely MEV Bot (consistent ~20M gas),MEV Bot
