to_address,transaction_count,avg_gas_limit,max_gas_limit
0x0de8bf93da2f7eecb3d9169422413a9bef4ef628,31403,23605895.17294526,36000000.0
0x0a252663dbcc0b073063d6420a40319e438cfa59,26045,28897356.53960453,36000000.0
0x0000000000771a79d0fc7f3b7fe270eb4498f20b,10110,20901135.246488623,34849371.0
0x2f848984984d6c3c036174ce627703edaf780479,6688,23536096.092254784,35838106.0
0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,1989,29996342.62644545,30000000.0
0x0a9077aa8a6e3b6016e9936ae3541a6bf5740eba,1345,19439481.85055762,32400000.0
0xc3c7b049678d84081dfd0ba21a6c7fdcc31c226f,1302,25700480.014592934,33737454.0
0x4041001020fcd967eac89b060388abc703119c73,1130,21437030.361061946,26107063.0
0xbd8916626c5b1b9f28da68aa0bc4a3d29a0d33d5,924,19500000.0,19500000.0
0x4f4495243837681061c4743b74b3eedf548d56a5,906,20000000.0,20000000.0
0xd1f3b954608551e0365c248a5a539ef08f9587a3,818,23763265.188264057,26101924.0
0x8d5f7156eb384902b71ae991c563bb9ee47e0d68,761,26021000.0,26021000.0
0xf70091dd85e62021c888b4c861c45749b793f869,757,20000000.0,20000000.0
0x00000000000000000000000000000000000face7,605,22915919.623140495,34266827.0
0xddc796a66e8b83d0bccd97df33a6ccfba8fd60ea,553,20000000.0,20000000.0
0x2d5805a423d6ce771f06972ad4499f120902631a,481,24433184.546777546,35933443.0
0xfef2359e77df8b769760d62cbb5ee676fe78f6c2,416,23989473.973557692,33050400.0
0x3fc29836e84e471a053d2d9e80494a867d670ead,385,27714927.189610388,34200000.0
0xe957ea0b072910f508dd2009f4acb7238c308e29,337,19353185.204747774,29396120.0
0xd152f549545093347a162dce210e7293f1452150,328,26067321.466463413,35451675.0
0x931a644c8049babdd91fac0f5e394179569c13f5,315,20000000.0,20000000.0
0x684feb71dd32e6a36c39d47fcef6a559877ad7d3,246,20000000.0,20000000.0
0x67a34a84c235c15840745955db839520fea09939,207,27715590.328502417,33582198.0
0x21d3227b97cc2bda8f3ee2217df710f551547aa6,186,25457830.612903226,26103004.0
0x00000688768803bbd44095770895ad27ad6b0d95,184,22128316.52173913,30867649.0
0x0ef8fa4760db8f5cd4d993f3e3416f30f942d705,151,21444659.059602648,29510743.0
0x845074654f5412915f5c0d76c017c39c800d96a5,144,19982318.520833332,20061235.0
0xa7482716c6cdd7f65b1b595d2cdeb4e4a2a08fcb,135,17246892.451851852,17263971.0
0x45ca8f6d7b6cdd13effb1cd06829d1d9273a8913,124,20000000.0,20000000.0
0x0b8a49d816cc709b6eadb09498030ae3416b66dc,120,23437169.925,35527138.0
0x62b92d5ad29bc7adffa2904faac28dd0ce3fc65a,118,25252428.033898305,26060745.0
0xa9048585166f4f7c4589ade19567bb538035ed36,117,25326404.803418804,35845636.0
0x6c84edd2a018b1fe2fc93a56066b5c60da4e6d64,117,20000000.0,20000000.0
0xc41e476dea14aa3a6feb4a10b6382d655ce60ec2,117,17245494.8034188,17262560.0
0xadb863c42da771455329ea9c164d07fb6d9e3a42,114,30000000.0,30000000.0
0xc32e2a2f03d41768095e67b62c9c739f2c2bc4aa,113,22855444.902654868,34378005.0
0x77a6149395ca96b13df5bbd634965bcfbeedb1c9,113,25000000.0,25000000.0
0x0644bd0248d5f89e4f6e845a91d15c23591e5d33,100,30000000.0,30000000.0
0x00000f91109c4d0007e90000d9facad5298a0cac,96,31769606.885416668,35117553.0
0x76366921f251b3cef0d326c9d0d587b6a4cbb7fb,94,20957446.80851064,35000000.0
0x03e2ea0fbc39240f1867f5d7475fd6b6561950aa,88,31121510.045454547,31271268.0
0x977c26ce24036fa66ee2bfaead9556bc2b8a9aea,87,29499821.88505747,29779673.0
0x00c452affee3a17d9cecc1bcd2b8d5c7635c4cb9,86,22196706.139534883,32273628.0
0x9d1833becb105405a8305f775f0af3157d12b33c,85,18475872.505882353,21357559.0
0xd11d000979b09eb3380e92dab523597afe32ed03,85,27603034.647058822,35894571.0
0x4abf0b30452399793ff3a90ac016072b12f5ff32,83,20321597.578313254,23029000.0
0xbbbb2d4d765c1e455e4896a64ba3883e914abbbb,82,25244305.93902439,34921680.0
0xe6b1de575e7e610889ea21024834e120f92033a3,82,18699390.243902437,26640000.0
0x26ec4a18080303afe65628c205877c808e16caed,80,21486470.8375,22000965.0
0xc36442b4a4522e871399cd717abdd847ab11fe88,80,24734995.425,31377948.0
0x9d28e66f07c603d5caf4701447bd7f86d5b1d324,79,30000000.0,30000000.0
0x8d6689c68c588b3377cce194fd5cc1c27439def5,74,28783829.56756757,31508294.0
0x8ddbbcc0999f396237b6534ac600ebb0d8618c99,65,24280181.184615385,24288499.0
0x06a9ab27c7e2255df1815e6cc0168d7755feb19a,63,20099192.031746034,30000000.0
0x733f1b7b6d70b3c9664e31e33eee63fb905e5b29,61,24335852.459016394,24600000.0
0x5b5a0580bcfd3673820bb249514234afad33e209,60,24781752.5,30000000.0
0x21fd239311b050bbee7f32850d99adc224761382,59,29039560.813559324,35986421.0
0x89bf387095cd603035a08036d89bd2089ce091c7,58,22343350.29310345,34383069.0
0x95f41f9fcf2dead1a7d2efde6f8a5d8ad3a96028,58,30000000.0,30000000.0
0x38b6088849e98115315bad2786f6490474158c33,57,23286015.350877192,34233937.0
0x19a364bdaf25cc634ccd287ea3521bfb3ea9db41,54,25809048.851851847,34166536.0
0x2debc3b202eb70c9e722ff2153fbfb9b5ce2e8b2,54,17096446.14814815,17097440.0
0xe77864e6368103da3e0c3f86781456af1a10ee3a,54,18977315.074074075,18984138.0
0x307bece88fc5fbfb1b638fb2a382d143cdf9c185,53,18808492.754716977,18809506.0
0x2dc7acc59c39f4e0a373dfe0e55c715e7ebefb7e,52,25486219.153846152,25883246.0
0x2a2743b47714b243dc2f05f4737798b0348ca36c,48,21246812.75,25385014.0
0x4c159520f1117ac58cb5efa1765469cac54dcaab,46,19156850.54347826,21566547.0
0xe071ab2817e8e4c3546b10596f5da06878b87bd6,44,30000000.0,30000000.0
0xb1ffb36ba1243f6c041135d8d7159d6ccfe74857,43,20000000.0,20000000.0
